citics_1,citics_1_chn,sector_name,sector_name_chn
Gasoline,石油石化,Cycle,周期产业
Coal,煤炭,Cycle,周期产业
DiversifiedMetal,有色金属,Cycle,周期产业
PublicUtility,电力及公用事业,InfrastructureAndRealEstate,基础设施与地产产业
Metal,钢铁,Cycle,周期产业
ChemicalIndustry,基础化工,Cycle,周期产业
BuildingDecoration,建筑,InfrastructureAndRealEstate,基础设施与地产产业
ConstructionAndMaterial,建材,InfrastructureAndRealEstate,基础设施与地产产业
LightManufacturing,轻工制造,Consumption,消费产业
Machinary,机械,Manufacture,制造产业
ElectricalEquip,电力设备及新能源,Manufacture,制造产业
DefenseIndustry,国防军工,Manufacture,制造产业
MotorVehicle,汽车,Manufacture,制造产业
CommercialTrade,商贸零售,Consumption,消费产业
LeisureServices,消费者服务,Consumption,消费产业
HouseholdAppliances,家电,Manufacture,制造产业
TextileAndGarment,纺织服装,Consumption,消费产业
MedicationAndBio,医药,Healthcare,医疗健康产业
FoodAndBeverage,食品饮料,Consumption,消费产业
Agriculture,农林牧渔,Consumption,消费产业
Bank,银行,Finance,金融产业
NonBankFinancial,非银行金融,Finance,金融产业
RealEstate,房地产,InfrastructureAndRealEstate,基础设施与地产产业
SynFinance,综合金融,Finance,金融产业
CommunicationsAndTransportation,交通运输,InfrastructureAndRealEstate,基础设施与地产产业
ElectricalIndustry,电子,Technology,科技产业
Telecoms,通信,Technology,科技产业
Computer,计算机,Technology,科技产业
MultiMedia,传媒,Technology,科技产业
Synthetics,综合,Synthetics,综合产业
